TEAM;NUMBER;NAME;GAMES PLAYED;GOALS;ASSISTS;PIM
Växjö Lakers HC;28;Hugo Gustafsson;9;5;1;0
Växjö Lakers HC;29;Sebastian Strandberg;25;4;6;0
Växjö Lakers HC;91;Felix Robert;33;8;7;0
Växjö Lakers HC;12;Otto Koivula;4;1;1;0
Växjö Lakers HC;13;Dylan Mclaughlin;33;8;10;0
Växjö Lakers HC;16;Ville Svensson;22;1;4;0
Växjö Lakers HC;4;Keegan Lowe;33;0;7;0
Växjö Lakers HC;36;Elias Rosén;26;0;0;0
Växjö Lakers HC;62;Manuel Ågren;24;1;8;0
Växjö Lakers HC;40;Dennis Rasmussen;33;13;9;0
Växjö Lakers HC;42;Kalle Kratz;31;4;2;0
Växjö Lakers HC;21;Brian Cooper;27;2;4;0
Växjö Lakers HC;6;Petter Granberg;33;1;4;0
Växjö Lakers HC;25;Lucas Elvenes;33;11;22;0
Växjö Lakers HC;24;Karl Henriksson;32;7;3;0
Växjö Lakers HC;19;Reid Gardiner;30;11;9;0
Växjö Lakers HC;49;Leo Sahlin Wallenius;16;0;0;0
Växjö Lakers HC;8;Zachary Giuttari;25;0;4;0
Växjö Lakers HC;70;Adam Åhman;33;0;1;0
Växjö Lakers HC;32;Ludvig Persson;33;0;2;0
Växjö Lakers HC;69;"Morgan              (LW) Anderberg";11;0;0;0
Växjö Lakers HC;94;Joel Persson;32;5;21;0
Växjö Lakers HC;11;Brogan Rafferty;29;5;16;0
Växjö Lakers HC;41;Ludvig Nilsson;31;2;4;0
Växjö Lakers HC;10;"Eemeli              (LD) Suomi";1;0;0;0
Växjö Lakers HC;10;Eemeli Suomi;23;5;3;0
Växjö Lakers HC;41;"Ludvig              (LW) Nilsson";1;0;0;0
Växjö Lakers HC;12;"Otto              (LW) Koivula";1;0;0;0
Växjö Lakers HC;16;"Ville              (LW) Svensson";7;0;0;0
Växjö Lakers HC;69;Morgan Anderberg;15;1;1;0
Växjö Lakers HC;88;"Albin              (RW) Laksonen";2;0;0;0
Växjö Lakers HC;23;"Max              (LW) Isaksson";1;0;0;0
Växjö Lakers HC;17;Erik Andersson;17;1;3;0
Växjö Lakers HC;1;Felix Timraz-Westin;1;0;0;0
Växjö Lakers HC;18;"Emon              (RW) Kulmala";1;0;0;0
Växjö Lakers HC;88;Liam Pettersson;2;0;0;0
Växjö Lakers HC;23;Elias Lindgren;1;0;0;0
Växjö Lakers HC;18;Ola Palme;5;0;0;0
Växjö Lakers HC;23;Olle Tideman;1;0;0;0
Växjö Lakers HC;42;"Kalle              (LW) Kratz";1;0;0;0
Växjö Lakers HC;16;"Ville              (RW) Svensson";1;0;0;0
BIF;14;Robert Hägg;0;0;0;56
BIF;10;Johan Larsson;0;0;0;40
BIF;23;Oskar Lindblom;0;0;0;8
BIF;18;Anton Rödin;0;0;0;12
BIF;28;Johannes Kinnvall;0;0;0;8
BIF;81;Kieffer Bellows;0;0;0;18
BIF;24;Aron Dahlqvist;0;0;0;4
BIF;8;Bobby Trivigno;0;0;0;14
BIF;27;Mattias Norlinder;0;0;0;8
BIF;41;Greg Scott;0;0;0;8
BIF;36;Linus Ölund;0;0;0;29
BIF;71;Axel Jonsson-Fjällby;0;0;0;8
BIF;19;Nicklas Bäckström;0;0;0;10
BIF;5;Michal Kempny;0;0;0;8
BIF;29;Axel Andersson;0;0;0;2
BIF;33;Jakob Silfverberg;0;0;0;32
BIF;3;Christian Djoos;0;0;0;2
BIF;52;Jack Kopacka;0;0;0;2
BIF;2;Victor Raftheim Hedin;0;0;0;4
BIF;20;Tyler Vesel;0;0;0;6
BIF;53;Luke Witkowski;0;0;0;2
BIF;15;Simon Bertilsson;0;0;0;4
VÄX;29;Sebastian Strandberg;0;0;0;6
VÄX;4;Keegan Lowe;0;0;0;18
VÄX;49;Leo Sahlin Wallenius;0;0;0;8
VÄX;19;Reid Gardiner;0;0;0;12
VÄX;12;Otto Koivula;0;0;0;2
VÄX;10;Eemeli Suomi;0;0;0;8
VÄX;91;Felix Robert;0;0;0;12
VÄX;24;Karl Henriksson;0;0;0;20
VÄX;21;Brian Cooper;0;0;0;16
VÄX;6;Petter Granberg;0;0;0;18
VÄX;25;Lucas Elvenes;0;0;0;12
VÄX;94;Joel Persson;0;0;0;26
VÄX;42;Kalle Kratz;0;0;0;2
VÄX;13;Dylan Mclaughlin;0;0;0;4
