TEAM;NUMBER;NAME;GAMES PLAYED;GOALS;ASSISTS;PIM
HV 71;21;"Mattias              (LW) Tedenby";1;0;0;0
HV 71;17;Isac Brännström;9;1;1;0
HV 71;28;Justin Glenn Kloos;32;0;0;0
HV 71;71;"William              (LW) Ignberg Nilsson";1;0;0;0
HV 71;28;Justin Kloos;0;7;10;0
HV 71;6;Karl Annborn;11;0;0;0
HV 71;9;"Hugo              (LW) Pettersson";1;0;0;0
HV 71;21;Mattias Tedenby;31;6;2;0
HV 71;71;"William              (RW) Ignberg Nilsson";4;0;0;0
HV 71;88;Vashek Blanar;3;0;0;0
HV 71;24;"Noel              (LW) Skarby";4;0;0;0
HV 71;39;"Jamiro              (CE) Reber";4;0;0;0
HV 71;12;Wille Magnertoft;5;0;1;0
HV 71;18;Oscar Davidsson;11;0;1;0
HV 71;78;Malte Gustafsson;11;0;3;0
HV 71;35;Olof Glifford;10;0;0;0
HV 71;12;"Wille              (LW) Magnertoft";4;0;0;0
HV 71;29;Sigge Lindh;2;0;0;0
HV 71;24;Hampus Eriksson;2;0;0;0
HV 71;12;"Wille              (CE) Magnertoft";7;0;0;0
HV 71;29;Eddie Levin;2;1;2;0
HV 71;4;Noel Skarby;1;0;0;0
HV 71;60;Felix Sandström;8;0;0;0
HV 71;23;Hampus Karlsson;2;0;0;0
HV 71;88;Gustav Olhaver;1;0;0;0
HV 71;5;Oscar Söderström;2;0;0;0
HV 71;29;Arvid Degerstedt;2;0;0;0
HV 71;23;Marcus Limpar Lantz;1;0;0;0
HV 71;88;Tim Lindfors;1;0;0;0
HV 71;18;"Oscar              (CE) Davidsson";4;0;0;0
HV 71;23;Victor Laz;3;0;0;0
Örebro HK;17;William Wikman;34;4;6;0
Örebro HK;33;Christopher Mastomäki;34;6;7;0
Örebro HK;37;Glenn Gustafsson;34;3;4;0
Örebro HK;9;Niklas Nilsson;20;0;1;0
Örebro HK;10;Sampo Ranta;15;3;3;0
Örebro HK;29;Milton Oscarson;34;8;4;0
Örebro HK;14;Liam Danielsson;12;0;2;0
Örebro HK;27;Peetro Seppälä;34;0;6;0
Örebro HK;6;Filip Berglund;19;1;4;0
Örebro HK;77;Teemu Turunen;23;5;5;0
Örebro HK;19;Sean Malone;30;1;8;0
Örebro HK;44;Melvin Fernström;29;3;1;0
Örebro HK;5;Gustav Backström;34;3;4;0
Örebro HK;7;Luke Martin;32;5;9;0
Örebro HK;21;Patrik Puistola;33;10;14;0
Örebro HK;11;Kalle Kossila;27;6;16;0
Örebro HK;89;Patrik Karlkvist;34;8;24;0
Örebro HK;28;Linus Arnesson;33;3;6;0
Örebro HK;55;David Quenneville;34;11;16;0
Örebro HK;1;Jhonas Enroth;34;0;1;0
Örebro HK;31;Jonas Arntzen;34;0;0;0
Örebro HK;12;"Noah              (LW) Steen";1;0;0;0
Örebro HK;12;Noah Steen;33;7;6;0
Örebro HK;44;"Melvin              (RW) Fernström";5;0;0;0
Örebro HK;30;Linus Hägerman;2;0;0;0
Örebro HK;23;Egor Polin;27;6;7;0
Örebro HK;47;"Niklas              (LW) Aaram Olsen";10;0;0;0
Örebro HK;30;Kevin Törnblom;11;0;0;0
Örebro HK;41;Theodor Hallquisth;6;0;1;0
Örebro HK;48;Juuso Vainio;20;0;2;0
Örebro HK;23;"Egor              (RW) Polin";5;0;0;0
Örebro HK;14;"Liam              (RW) Danielsson";3;0;0;0
Örebro HK;46;Axel Elofsson;5;0;0;0
Örebro HK;46;Svante Sjödin;6;0;0;0
Örebro HK;46;"Svante              (CE) Sjödin";2;0;0;0
Örebro HK;47;"Philip              (RW) Larsson";1;0;0;0
Örebro HK;46;Felix Färhammar;2;0;0;0
Örebro HK;47;"Alexander              (CE) Command";1;0;0;0
Örebro HK;47;Alexander Command;1;0;0;0
Örebro HK;41;"Ludvig              (RW) Andersson";1;0;0;0
Örebro HK;19;"Sean              (CE) Malone";1;0;0;0
Örebro HK;51;Niklas Aaram Olsen;1;0;0;0
Örebro HK;47;"Alexander              (LW) Command";1;0;0;0
HV71;8;Lucas Lagerberg;0;0;0;8
HV71;82;Santeri Hatakka;0;0;0;12
HV71;38;Olle Alsing;0;0;0;2
HV71;55;Andreas Borgman;0;0;0;20
HV71;19;Niklas Hansson;0;0;0;12
HV71;44;Hugo Fransson;0;0;0;10
HV71;27;Jonathan Ang;0;0;0;26
HV71;36;Martin Johnsen;0;0;0;8
HV71;46;Joona Luoto;0;0;0;4
HV71;17;Isac Brännström;0;0;0;25
HV71;21;Mattias Tedenby;0;0;0;8
HV71;16;Linus Lindström;0;0;0;6
HV71;41;Riley Woods;0;0;0;8
HV71;70;Lukas Rousek;0;0;0;8
HV71;28;Justin Kloos;0;0;0;10
HV71;39;Jamiro Reber;0;0;0;4
HV71;96;Nikola Pasic;0;0;0;4
HV71;61;Axel Rindell;0;0;0;8
HV71;9;Hugo Pettersson;0;0;0;2
HV71;91;Aleksi Heponiemi;0;0;0;2
HV71;71;William Ignberg Nilsson;0;0;0;6
HV71;40;Oskar Stål-Lyrenäs;0;0;0;2
HV71;12;Wille Magnertoft;0;0;0;2
ÖHK;29;Milton Oscarson;0;0;0;18
ÖHK;44;Melvin Fernström;0;0;0;6
ÖHK;11;Kalle Kossila;0;0;0;12
ÖHK;37;Glenn Gustafsson;0;0;0;10
ÖHK;33;Christopher Mastomäki;0;0;0;45
ÖHK;27;Peetro Seppälä;0;0;0;10
ÖHK;28;Linus Arnesson;0;0;0;16
ÖHK;77;Teemu Turunen;0;0;0;6
ÖHK;6;Filip Berglund;0;0;0;8
ÖHK;5;Gustav Backström;0;0;0;6
ÖHK;55;David Quenneville;0;0;0;10
ÖHK;17;William Wikman;0;0;0;4
ÖHK;23;Egor Polin;0;0;0;4
ÖHK;14;Liam Danielsson;0;0;0;2
ÖHK;7;Luke Martin;0;0;0;33
ÖHK;89;Patrik Karlkvist;0;0;0;10
ÖHK;21;Patrik Puistola;0;0;0;7
ÖHK;41;Theodor Hallquisth;0;0;0;2
ÖHK;12;Noah Steen;0;0;0;10
ÖHK;9;Niklas Nilsson;0;0;0;4
ÖHK;19;Sean Malone;0;0;0;8
ÖHK;10;Sampo Ranta;0;0;0;10
ÖHK;48;Juuso Vainio;0;0;0;2
Leksands IF;1;Marcus Gidlöf;20;0;0;0
Leksands IF;37;Jakob Hellsten;34;0;1;0
Leksands IF;30;Viggo Tamm;12;0;0;0
Leksands IF;10;Anton Johansson;27;2;8;0
Leksands IF;36;Stefan Milosevic;32;1;4;0
Leksands IF;29;Michael Lindqvist;15;3;8;0
Leksands IF;22;Lukas Vejdemo;33;9;4;0
Leksands IF;14;Oskar Lang;32;4;5;0
Leksands IF;8;Matt Caito;32;2;4;0
Leksands IF;33;Olle Strandell;34;5;6;0
Leksands IF;7;Marcus Karlberg;24;3;1;0
Leksands IF;20;Nolan Stevens;34;5;8;0
Leksands IF;34;Peter Cehlarik;33;4;17;0
Leksands IF;3;Fred Nilsson;32;1;5;0
Leksands IF;6;Alexander Lundqvist;34;2;5;0
Leksands IF;15;Max Veronneau;23;4;5;0
Leksands IF;12;Kalle Östman;23;4;2;0
Leksands IF;9;Gabriel Fortier;27;4;7;0
Leksands IF;28;Victor Johansson;2;0;0;0
Leksands IF;5;Andro Kaderli;33;2;6;0
Leksands IF;13;Jon Knuts;29;2;0;0
Leksands IF;24;Arvid Eljas;26;2;4;0
Leksands IF;17;"Dennis              (LW) Altörn";11;0;0;0
Leksands IF;21;Joonas Lyytinen;31;3;4;0
Leksands IF;17;Dennis Altörn;8;0;0;0
Leksands IF;4;"Tinus Luc              (LW) Koblar";1;0;0;0
Leksands IF;26;Zaki Crookes;10;1;3;0
Leksands IF;4;Tinus Luc Koblar;28;0;0;0
Leksands IF;16;Rocky Langvardt;14;0;0;0
Leksands IF;32;"Jonas              (RW) Lagerberg-Hoen";2;0;0;0
Leksands IF;4;Tinus Koblar;0;5;5;0
Leksands IF;11;Wiktor Nilsson;27;1;2;0
Leksands IF;39;August Lissel;3;0;0;0
Leksands IF;39;"August              (LW) Lissel";3;0;0;0
Leksands IF;35;Agust Jobs;2;0;0;0
Leksands IF;7;"Marcus              (RW) Karlberg";3;0;0;0
Leksands IF;35;Max-Herman Sandqvist;2;0;0;0
Leksands IF;39;"August              (CE) Lissel";4;0;0;0
Leksands IF;25;Robin Christoffersson;13;0;0;0
Leksands IF;26;"Zaki              (RW) Crookes";5;0;0;0
Leksands IF;12;"Kalle              (LW) Östman";1;0;0;0
Leksands IF;26;"Zaki              (LW) Crookes";1;0;0;0
Leksands IF;30;Emil Andersson;3;0;0;0
Timrå IK;91;Magnus Pääjärvi;34;0;1;0
Timrå IK;19;Marcus Westfält;31;3;2;0
Timrå IK;72;Erik Walli Walterholm;32;0;0;0
Timrå IK;34;Alfons Freij;25;0;2;0
Timrå IK;10;David Lilja;31;1;4;0
Timrå IK;12;Linus Eriksson;22;0;2;0
Timrå IK;94;Sebastian Hartmann;34;8;5;0
Timrå IK;9;Didrik Strömberg;34;5;3;0
Timrå IK;16;Lukas Pilö;26;0;2;0
Timrå IK;18;Eddie Genborg;26;12;3;0
Timrå IK;51;Anton Lander;32;5;11;0
Timrå IK;57;Anton Wedin;22;7;4;0
Timrå IK;25;Linus Nässén;32;0;0;0
Timrå IK;28;Simon Forsmark;34;4;6;0
Timrå IK;54;Jonathan Dahlén;32;0;0;0
Timrå IK;14;Emil Pettersson;34;12;15;0
Timrå IK;26;Anton Heikkinen;33;7;6;0
Timrå IK;7;Marcus Hardegård;23;6;5;0
Timrå IK;38;Albin Sundin;33;3;3;0
Timrå IK;30;Jacob Johansson;34;0;1;0
Timrå IK;1;Simon Westling;16;0;0;0
Timrå IK;31;Tim Juel;30;0;0;0
Timrå IK;27;"Ludvig              (LW) Levinsson";8;0;0;0
Timrå IK;23;"Jeremy              (CE) Boyce-Rotevall";3;0;0;0
Timrå IK;23;Jeremy Boyce-Rotevall;13;1;1;0
Timrå IK;27;Ludvig Levinsson;19;2;5;0
Timrå IK;2;Per Svensson;28;1;1;0
Timrå IK;23;"Jeremy              (LW) Boyce-Rotevall";5;0;0;0
Timrå IK;27;"Ludvig              (CE) Levinsson";4;0;0;0
Timrå IK;10;"David              (LW) Lilja";1;0;0;0
Timrå IK;23;"Jeremy              (RW) Boyce-Rotevall";1;0;0;0
Timrå IK;12;"Linus              (CE) Eriksson";3;0;0;0
Timrå IK;32;Anton Lundmark;7;1;1;0
Timrå IK;22;Edwin Annerstedt;5;0;0;0
Timrå IK;22;"Edwin              (LW) Annerstedt";1;0;0;0
Timrå IK;39;"William              (LW) Sörbrand";1;0;0;0
Timrå IK;1;Carl Lidö;1;0;0;0
Timrå IK;3;Adrian Thun-Hansson;2;0;0;0
Timrå IK;22;"Edwin              (RW) Annerstedt";2;0;0;0
Timrå IK;1;Max Berglund;1;0;0;0
Timrå IK;15;Olle Därth;1;0;0;0
LIF;13;Jon Knuts;0;0;0;4
LIF;22;Lukas Vejdemo;0;0;0;10
LIF;24;Arvid Eljas;0;0;0;12
LIF;20;Nolan Stevens;0;0;0;12
LIF;14;Oskar Lang;0;0;0;8
LIF;3;Fred Nilsson;0;0;0;4
LIF;21;Joonas Lyytinen;0;0;0;24
LIF;8;Matt Caito;0;0;0;22
LIF;15;Max Veronneau;0;0;0;2
LIF;10;Anton Johansson;0;0;0;35
LIF;36;Stefan Milosevic;0;0;0;33
LIF;29;Michael Lindqvist;0;0;0;18
LIF;9;Gabriel Fortier;0;0;0;10
LIF;7;Marcus Karlberg;0;0;0;10
LIF;6;Alexander Lundqvist;0;0;0;8
LIF;5;Andro Kaderli;0;0;0;45
LIF;33;Olle Strandell;0;0;0;8
LIF;4;Tinus Koblar;0;0;0;10
LIF;11;Wiktor Nilsson;0;0;0;8
LIF;34;Peter Cehlarik;0;0;0;12
LIF;16;Rocky Langvardt;0;0;0;2
LIF;12;Kalle Östman;0;0;0;8
TIK;38;Albin Sundin;0;0;0;10
TIK;7;Marcus Hardegård;0;0;0;8
TIK;51;Anton Lander;0;0;0;12
TIK;18;Eddie Genborg;0;0;0;8
TIK;72;Erik Walli Walterholm;0;0;0;14
TIK;57;Anton Wedin;0;0;0;2
TIK;12;Linus Eriksson;0;0;0;6
TIK;9;Didrik Strömberg;0;0;0;30
TIK;19;Marcus Westfält;0;0;0;8
TIK;14;Emil Pettersson;0;0;0;12
TIK;94;Sebastian Hartmann;0;0;0;20
TIK;34;Alfons Freij;0;0;0;6
TIK;54;Jonathan Dahlén;0;0;0;14
TIK;28;Simon Forsmark;0;0;0;4
TIK;10;David Lilja;0;0;0;6
TIK;2;Per Svensson;0;0;0;4
TIK;25;Linus Nässén;0;0;0;8
TIK;16;Lukas Pilö;0;0;0;2
TIK;91;Magnus Pääjärvi;0;0;0;2
TIK;26;Anton Heikkinen;0;0;0;4
TIK;23;Jeremy Boyce-Rotevall;0;0;0;2
TIK;27;Ludvig Levinsson;0;0;0;2
Luleå HF;31;Matteus Ward;32;0;1;0
Luleå HF;1;Isak Sörqvist;6;0;0;0
Luleå HF;3;Frederic Allard;34;8;15;0
Luleå HF;23;Jesper Sellgren;34;4;9;0
Luleå HF;25;Filip Eriksson;34;12;10;0
Luleå HF;91;Brian O'neil;9;0;0;0
Luleå HF;6;Isac Hedqvist;31;9;5;0
Luleå HF;8;William Håkansson;22;0;2;0
Luleå HF;29;Erik Gustafsson;31;9;8;0
Luleå HF;9;Heikki Liedes;32;3;1;0
Luleå HF;96;Pontus Andreasson;34;6;10;0
Luleå HF;76;Anton Levtchi;32;2;6;0
Luleå HF;55;Kasper Kotkansalo;21;0;0;0
Luleå HF;32;Oscar Engsund;32;0;1;0
Luleå HF;51;Markus Nurmi;33;10;9;0
Luleå HF;13;Eetu Koivistoinen;32;3;5;0
Luleå HF;71;Jakob Ihs-Wozniak;12;2;0;0
Luleå HF;5;Edvin Hammarlund;4;0;0;0
Luleå HF;10;Einar Emanuelsson;17;0;2;0
Luleå HF;15;David Granberg;23;2;3;0
Luleå HF;20;Casper Juustovaara Karlsson;23;0;0;0
Luleå HF;27;"David              (LW) Thomasson";7;0;0;0
Luleå HF;34;Joel Lassinantti;30;0;0;0
Luleå HF;39;Pontus Själin;29;0;3;0
Luleå HF;86;Mathias Bromé;26;0;0;0
Luleå HF;71;"Jakob              (RW) Ihs-Wozniak";5;0;0;0
Luleå HF;27;David Thomasson;3;0;0;0
Luleå HF;19;Neo Hirsch;3;0;0;0
Luleå HF;10;"Einar              (RW) Emanuelsson";2;0;0;0
Luleå HF;91;Brian O'neill;23;0;0;0
Luleå HF;24;Brendan Shinnimin;16;2;4;0
Luleå HF;27;Ben Tardif;15;7;2;0
Luleå HF;15;"David              (RW) Granberg";4;0;0;0
Luleå HF;82;Otto Leskinen;14;3;2;0
Luleå HF;15;"David              (LW) Granberg";5;0;0;0
Luleå HF;67;Linus Omark;12;3;2;0
Luleå HF;20;"Casper              (LW) Juustovaara Karlsson";2;0;0;0
Luleå HF;27;Oskari Laaksonen;10;2;3;0
IF Malmö Redhawks;16;Maximilian Eisenmenger;12;0;0;0
IF Malmö Redhawks;10;William Von Barnekow;28;0;0;0
IF Malmö Redhawks;12;Linus Öberg;34;10;1;0
IF Malmö Redhawks;41;Joseph Berger;15;0;0;0
IF Malmö Redhawks;13;Petter Vesterheim;32;4;3;0
IF Malmö Redhawks;78;Robin Hanzl;21;2;9;0
IF Malmö Redhawks;91;Axel Sundberg;31;10;14;0
IF Malmö Redhawks;26;Patrik Norén;4;0;0;0
IF Malmö Redhawks;17;Johan Ivarsson;30;0;1;0
IF Malmö Redhawks;20;Thomas Berg Paulsen;33;0;0;0
IF Malmö Redhawks;22;Janne Kuokkanen;30;10;21;0
IF Malmö Redhawks;48;Lauri Pajuniemi;34;12;15;0
IF Malmö Redhawks;49;Seth Barton;29;2;7;0
IF Malmö Redhawks;6;Eemil Viro;34;2;8;0
IF Malmö Redhawks;24;Filip Björkman;12;1;0;0
IF Malmö Redhawks;63;Fredrik Händemark;33;13;9;0
IF Malmö Redhawks;32;Joona Ikonen;34;1;3;0
IF Malmö Redhawks;42;Robin Salo;34;4;20;0
IF Malmö Redhawks;7;Topi Niemelä;34;3;10;0
IF Malmö Redhawks;72;Daniel Marmenlind;18;0;0;0
IF Malmö Redhawks;94;Marek Langhamer;27;0;1;0
IF Malmö Redhawks;71;"Isac              (RW) Nilsson";1;0;0;0
IF Malmö Redhawks;71;Isac Nilsson;26;3;4;0
IF Malmö Redhawks;13;"Petter              (RW) Vesterheim";1;0;0;0
IF Malmö Redhawks;95;Carl Persson;31;15;13;0
IF Malmö Redhawks;4;Martin Schreiber;32;0;2;0
IF Malmö Redhawks;24;"Filip              (LW) Björkman";4;0;0;0
IF Malmö Redhawks;16;"Maximilian              (LW) Eisenmenger";8;0;0;0
IF Malmö Redhawks;35;Kimhann Hultgren;1;0;0;0
IF Malmö Redhawks;74;Felix Carell;14;0;0;0
IF Malmö Redhawks;71;"Isac              (LW) Nilsson";2;0;0;0
IF Malmö Redhawks;40;Oskar Blomgren;22;0;0;0
IF Malmö Redhawks;35;Axel Göransson;2;0;0;0
IF Malmö Redhawks;9;"Kalle              (LW) Hemström";9;0;0;0
IF Malmö Redhawks;11;Sebastian Wännström;3;0;0;0
IF Malmö Redhawks;9;Kalle Hemström;3;0;0;0
IF Malmö Redhawks;15;"Freddie              (LW) Larsson";1;0;0;0
IF Malmö Redhawks;15;Freddie Larsson;2;0;0;0
IF Malmö Redhawks;9;"Kalle              (CE) Hemström";1;0;0;0
IF Malmö Redhawks;41;Isac Born;9;0;1;0
IF Malmö Redhawks;16;"Maximilian              (CE) Eisenmenger";6;0;0;0
IF Malmö Redhawks;11;Elia Pedrotti;10;0;2;0
IF Malmö Redhawks;16;Oliver Rosvall;1;0;0;0
IF Malmö Redhawks;14;Carl-Johan Lerby;1;0;0;0
LHF;51;Markus Nurmi;0;0;0;28
LHF;3;Frederic Allard;0;0;0;22
LHF;32;Oscar Engsund;0;0;0;8
LHF;20;Casper Juustovaara Karlsson;0;0;0;6
LHF;8;William Håkansson;0;0;0;8
LHF;96;Pontus Andreasson;0;0;0;28
LHF;71;Jakob Ihs-Wozniak;0;0;0;2
LHF;76;Anton Levtchi;0;0;0;8
LHF;6;Isac Hedqvist;0;0;0;12
LHF;13;Eetu Koivistoinen;0;0;0;31
LHF;23;Jesper Sellgren;0;0;0;4
LHF;39;Pontus Själin;0;0;0;12
LHF;55;Kasper Kotkansalo;0;0;0;6
LHF;91;Brian O'neil;0;0;0;2
LHF;91;Brian O'neill;0;0;0;10
LHF;29;Erik Gustafsson;0;0;0;12
LHF;86;Mathias Bromé;0;0;0;6
LHF;25;Filip Eriksson;0;0;0;6
LHF;15;David Granberg;0;0;0;2
LHF;24;Brendan Shinnimin;0;0;0;10
LHF;82;Otto Leskinen;0;0;0;4
LHF;9;Heikki Liedes;0;0;0;8
LHF;72;Ben Tardif;0;0;0;4
LHF;67;Linus Omark;0;0;0;6
LHF;31;Matteus Ward;0;0;0;2
LHF;27;Oskari Laaksonen;0;0;0;6
MIF;24;Filip Björkman;0;0;0;8
MIF;32;Joona Ikonen;0;0;0;12
MIF;22;Janne Kuokkanen;0;0;0;43
MIF;41;Joseph Berger;0;0;0;4
MIF;17;Johan Ivarsson;0;0;0;21
MIF;13;Petter Vesterheim;0;0;0;4
MIF;48;Lauri Pajuniemi;0;0;0;22
MIF;49;Seth Barton;0;0;0;10
MIF;63;Fredrik Händemark;0;0;0;20
MIF;12;Linus Öberg;0;0;0;8
MIF;4;Martin Schreiber;0;0;0;10
MIF;78;Robin Hanzl;0;0;0;4
MIF;91;Axel Sundberg;0;0;0;8
MIF;95;Carl Persson;0;0;0;18
MIF;6;Eemil Viro;0;0;0;10
MIF;42;Robin Salo;0;0;0;10
MIF;10;William Von Barnekow;0;0;0;10
MIF;74;Felix Carell;0;0;0;2
MIF;16;Maximilian Eisenmenger;0;0;0;8
MIF;7;Topi Niemelä;0;0;0;10
MIF;41;Isac Born;0;0;0;4
MIF;20;Thomas Berg Paulsen;0;0;0;6
MIF;94;Marek Langhamer;0;0;0;2
MIF;9;Kalle Hemström;0;0;0;2
